Year,State,Accidents,Fatalities,Cause,Month
2021,Bihar,1432,413,Drunk Driving,Dec
2020,Delhi,4430,509,Weather,Mar
2019,Delhi,2538,306,Speeding,Nov
2023,Gujarat,1182,201,Overtaking,Apr
2023,Maharashtra,3818,515,Drunk Driving,Apr
2020,Uttar Pradesh,751,159,Weather,Apr
2016,Madhya Pradesh,4607,1341,Overtaking,Feb
2023,Delhi,2361,559,Speeding,Sep
2021,West Bengal,1859,354,Speeding,May
2020,Odisha,2700,307,Vehicle Defect,Nov
2023,Kerala,4227,691,Drunk Driving,Aug
2015,Bihar,1529,282,Overtaking,Jul
2017,Rajasthan,1809,278,Vehicle Defect,May
2022,West Bengal,1927,239,Overtaking,May
2018,Bihar,457,127,Speeding,Aug
2016,Delhi,2932,595,Speeding,Jul
2015,Madhya Pradesh,3925,529,Drunk Driving,Sep
2022,Delhi,3006,802,Speeding,Feb
2018,Kerala,616,63,Vehicle Defect,May
2018,Punjab,4138,1061,Weather,Oct
2018,Tamil Nadu,1760,397,Weather,Oct
2017,Haryana,3858,833,Weather,Jan
2018,Odisha,566,123,Overtaking,Nov
2017,Assam,4533,844,Weather,Jul
2017,Karnataka,3912,519,Overtaking,Jan
2022,Gujarat,1088,229,Overtaking,Sep
2018,Gujarat,630,126,Speeding,Aug
2017,Gujarat,716,101,Vehicle Defect,Feb
2023,Madhya Pradesh,2305,622,Vehicle Defect,Sep
2020,Gujarat,3689,972,Speeding,Feb
2015,Maharashtra,4656,629,Weather,Apr
2021,Haryana,4633,1089,Speeding,Feb
2015,Maharashtra,3472,474,Overtaking,Jul
2023,Gujarat,2133,475,Vehicle Defect,Apr
2022,Maharashtra,3386,794,Vehicle Defect,Jul
2021,Maharashtra,888,245,Speeding,Jan
2017,Tamil Nadu,3932,909,Vehicle Defect,Aug
2022,Gujarat,4770,1331,Vehicle Defect,Jun
2015,Rajasthan,924,225,Vehicle Defect,Feb
2016,Tamil Nadu,2992,448,Speeding,May
2020,Delhi,1745,208,Weather,Jun
2023,Gujarat,4076,1204,Speeding,Jun
2019,Gujarat,261,77,Drunk Driving,Jan
2019,Haryana,3447,509,Speeding,Oct
2022,Haryana,695,71,Overtaking,Jan
2016,Gujarat,4025,746,Drunk Driving,Nov
2020,Odisha,1167,117,Weather,Apr
2019,Maharashtra,3667,644,Drunk Driving,Jan
2021,Tamil Nadu,3193,837,Weather,Mar
2023,Odisha,543,90,Speeding,Aug
2017,Haryana,2108,261,Vehicle Defect,Nov
2020,Assam,4304,775,Speeding,May
2015,Madhya Pradesh,3637,372,Weather,Jun
2015,Maharashtra,2387,274,Overtaking,Jun
2020,Bihar,469,48,Drunk Driving,Mar
2015,Gujarat,847,134,Drunk Driving,Dec
2017,Rajasthan,2715,422,Drunk Driving,Oct
2018,West Bengal,2112,307,Drunk Driving,May
2016,Odisha,2188,630,Overtaking,Feb
2015,Uttar Pradesh,4803,803,Vehicle Defect,Dec
2020,Tamil Nadu,593,99,Speeding,Jun
2023,Delhi,1907,380,Drunk Driving,May
2015,Rajasthan,3060,481,Drunk Driving,Jan
2021,West Bengal,2406,531,Vehicle Defect,Mar
2021,Bihar,2684,601,Speeding,Mar
2023,Bihar,2790,716,Speeding,Nov
2023,Assam,4100,727,Weather,Nov
2019,Madhya Pradesh,2329,592,Overtaking,Nov
2015,West Bengal,3802,842,Overtaking,Jun
2015,Tamil Nadu,4298,804,Drunk Driving,Jan
2021,Assam,4650,1334,Weather,Feb
2021,Delhi,2493,563,Vehicle Defect,Jan
2016,Assam,1724,313,Weather,Apr
2019,Punjab,808,165,Overtaking,Aug
2015,Assam,4998,1274,Vehicle Defect,Apr
2017,Uttar Pradesh,2042,574,Speeding,Jun
2016,Odisha,322,79,Weather,Aug
2023,Haryana,1365,207,Speeding,Mar
2021,Gujarat,2901,469,Weather,Nov
2017,Punjab,1544,414,Drunk Driving,Mar
2018,Haryana,2480,645,Speeding,Apr
2022,West Bengal,4897,901,Speeding,May
2016,Karnataka,2448,520,Overtaking,Jan
2016,Assam,1610,387,Overtaking,Oct
2023,Gujarat,3499,547,Speeding,Jul
2018,Madhya Pradesh,1855,344,Overtaking,Sep
2021,Assam,4240,880,Overtaking,Oct
2019,Punjab,2729,808,Vehicle Defect,Jun
2020,Odisha,366,101,Weather,Jan
2017,Assam,1297,341,Drunk Driving,Jul
2017,Gujarat,4253,769,Drunk Driving,May
2021,Rajasthan,365,98,Overtaking,Apr
2022,Madhya Pradesh,454,88,Vehicle Defect,Jul
2022,Tamil Nadu,827,135,Drunk Driving,Mar
2019,West Bengal,3508,1035,Overtaking,May
2019,Gujarat,3312,915,Drunk Driving,Jun
2022,Uttar Pradesh,562,150,Speeding,Sep
2015,Haryana,1640,236,Speeding,Dec
2019,Kerala,4571,536,Vehicle Defect,Oct
2022,Madhya Pradesh,4405,1247,Vehicle Defect,Mar
2022,Karnataka,2059,408,Drunk Driving,Nov
2016,Karnataka,3908,524,Weather,Jan
2022,Rajasthan,1339,336,Drunk Driving,Apr
2019,Kerala,4640,497,Overtaking,Sep
2020,Madhya Pradesh,4796,672,Drunk Driving,Jan
2021,Rajasthan,1762,508,Drunk Driving,Jan
2018,Gujarat,3246,665,Vehicle Defect,May
2018,Uttar Pradesh,2594,724,Weather,Dec
2017,Delhi,3233,454,Vehicle Defect,Jan
2022,Haryana,4638,642,Weather,Mar
2022,Uttar Pradesh,868,101,Overtaking,Apr
2021,Assam,172,17,Speeding,Jul
2020,Uttar Pradesh,117,21,Vehicle Defect,Jan
2015,Karnataka,1709,475,Drunk Driving,Sep
2021,Haryana,1088,191,Overtaking,Mar
2023,Bihar,699,164,Drunk Driving,Oct
2021,West Bengal,1194,284,Weather,May
2017,Madhya Pradesh,1436,182,Speeding,Jul
2017,Bihar,225,32,Weather,Jun
2021,Gujarat,3615,689,Drunk Driving,Jul
2021,Rajasthan,1702,198,Drunk Driving,Jun
2015,West Bengal,3805,699,Speeding,Jun
2020,Rajasthan,491,139,Overtaking,Nov
2023,Haryana,4342,1087,Overtaking,Dec
2020,Rajasthan,1707,426,Speeding,Sep
2022,Punjab,4730,779,Weather,Aug
2017,Maharashtra,2284,608,Vehicle Defect,Sep
2017,Tamil Nadu,3359,659,Overtaking,Mar
2021,Bihar,3656,701,Overtaking,Nov
2018,Delhi,3658,387,Drunk Driving,Jul
2022,Odisha,2767,572,Overtaking,Oct
2016,Punjab,2326,263,Weather,Sep
2018,Delhi,2637,378,Weather,Nov
2021,Gujarat,4336,496,Vehicle Defect,Jul
2019,Punjab,3255,788,Drunk Driving,Jul
2021,Madhya Pradesh,1737,502,Drunk Driving,Sep
2020,Gujarat,2871,729,Drunk Driving,Jun
2016,Maharashtra,1272,129,Vehicle Defect,Aug
2016,Gujarat,3827,478,Vehicle Defect,Jun
2019,Tamil Nadu,3979,893,Weather,Jun
2023,Rajasthan,2409,391,Speeding,May
2020,Assam,2009,373,Speeding,Feb
2021,Rajasthan,156,46,Drunk Driving,Jul
2018,Rajasthan,1165,191,Overtaking,Nov
2017,Assam,4761,750,Overtaking,Oct
2022,Bihar,1698,463,Overtaking,Oct
2017,Tamil Nadu,1414,350,Overtaking,Jan
2017,Karnataka,2452,610,Drunk Driving,Mar
2021,Karnataka,4200,956,Overtaking,Jan
2021,Assam,4665,683,Drunk Driving,Nov
2023,Uttar Pradesh,931,106,Speeding,Sep
2021,Rajasthan,3572,455,Overtaking,Apr
2023,Rajasthan,1395,413,Overtaking,Nov
2018,Punjab,4793,604,Vehicle Defect,Dec
2023,Punjab,1739,220,Weather,Mar
2020,Assam,1547,331,Vehicle Defect,Feb
2018,Gujarat,396,66,Speeding,Jun
2022,Gujarat,3745,839,Overtaking,Sep
2018,Odisha,1929,513,Weather,Apr
2018,Haryana,3541,895,Vehicle Defect,Jul
2023,West Bengal,4560,875,Drunk Driving,Mar
2021,Karnataka,2848,806,Speeding,Apr
2023,Maharashtra,679,171,Weather,Jul
2016,Gujarat,1779,371,Drunk Driving,Sep
2023,Madhya Pradesh,2635,522,Speeding,Jan
2015,Odisha,1583,409,Drunk Driving,Sep
2019,Punjab,982,244,Drunk Driving,Dec
2023,Bihar,2342,341,Drunk Driving,Aug
2018,Karnataka,2794,332,Weather,Dec
2021,Madhya Pradesh,4480,564,Speeding,May
2019,Haryana,2890,385,Overtaking,Jan
2019,Karnataka,2929,402,Drunk Driving,Apr
2018,Tamil Nadu,130,30,Drunk Driving,Nov
2021,Madhya Pradesh,3183,730,Overtaking,Sep
2015,Gujarat,3499,454,Speeding,Jun
2022,Maharashtra,2295,320,Drunk Driving,Sep
2015,Haryana,1687,360,Drunk Driving,Sep
2017,Karnataka,2890,307,Vehicle Defect,Dec
2016,Punjab,2675,749,Speeding,Mar
2015,Uttar Pradesh,893,102,Overtaking,May
2020,Punjab,4388,659,Overtaking,May
2021,Assam,2840,364,Vehicle Defect,Aug
2020,Gujarat,4957,584,Overtaking,Feb
2020,Delhi,2835,540,Weather,Nov
2016,Madhya Pradesh,2457,454,Overtaking,Dec
2022,West Bengal,4091,767,Speeding,Feb
2020,Kerala,2660,770,Overtaking,Oct
2015,Tamil Nadu,3806,1098,Speeding,Nov
2018,Haryana,4653,983,Weather,Jul
2017,Bihar,3041,394,Vehicle Defect,Dec
2017,Odisha,3569,760,Vehicle Defect,Jan
2019,Uttar Pradesh,269,42,Speeding,May
2019,Madhya Pradesh,438,115,Weather,Jul
2018,Rajasthan,494,144,Vehicle Defect,Dec
2021,Haryana,609,104,Speeding,Dec
2017,Odisha,513,86,Drunk Driving,Dec
2018,Delhi,202,31,Speeding,Oct
2022,Gujarat,485,112,Weather,Jul
2015,Uttar Pradesh,317,39,Weather,Nov
2015,Delhi,518,145,Vehicle Defect,Nov
2019,Gujarat,2928,399,Vehicle Defect,Sep
2019,Madhya Pradesh,812,215,Drunk Driving,Jun
2016,Delhi,2878,741,Vehicle Defect,Sep
2015,Rajasthan,3116,929,Speeding,May
2022,West Bengal,3890,547,Overtaking,Aug
2016,Kerala,3221,436,Weather,Jul
2020,Maharashtra,2325,490,Vehicle Defect,Mar
2016,Gujarat,1282,363,Drunk Driving,Jan
2020,Odisha,4084,955,Vehicle Defect,Sep
2022,Madhya Pradesh,4849,644,Speeding,Feb
2023,Madhya Pradesh,2136,461,Drunk Driving,Jul
2020,Uttar Pradesh,4829,694,Weather,Jan
2018,Odisha,4043,608,Vehicle Defect,Jan
2023,West Bengal,432,54,Overtaking,Nov
2022,Tamil Nadu,3158,357,Weather,Feb
2023,Delhi,2415,673,Vehicle Defect,Mar
2023,Haryana,4918,1407,Drunk Driving,Oct
2023,Rajasthan,3386,1002,Overtaking,Apr
2019,Assam,609,171,Vehicle Defect,Mar
2016,Kerala,741,153,Weather,Aug
2015,Odisha,2827,617,Drunk Driving,Apr
2019,Kerala,2629,689,Speeding,Jan
2017,Rajasthan,3852,953,Speeding,Jun
2017,Bihar,553,90,Vehicle Defect,Oct
2020,Odisha,2975,439,Speeding,Apr
2019,Rajasthan,780,140,Speeding,Feb
2017,Punjab,1083,262,Weather,Oct
2020,Kerala,4654,730,Vehicle Defect,Nov
2021,Madhya Pradesh,3397,525,Speeding,Mar
2021,Tamil Nadu,4692,651,Overtaking,Mar
2022,Punjab,915,141,Weather,Apr
2019,Rajasthan,1247,355,Vehicle Defect,Feb
2022,Haryana,2212,408,Weather,Apr
2021,Uttar Pradesh,3874,1052,Drunk Driving,Feb
2018,Kerala,2088,481,Drunk Driving,Feb
2018,West Bengal,702,177,Vehicle Defect,Oct
2021,Madhya Pradesh,1826,481,Overtaking,Dec
2017,Maharashtra,4551,623,Overtaking,Jun
2018,Haryana,2862,626,Vehicle Defect,Nov
2019,Uttar Pradesh,2145,567,Vehicle Defect,Aug
2017,West Bengal,3073,734,Speeding,Apr
2023,Uttar Pradesh,2186,339,Vehicle Defect,May
2023,Rajasthan,245,35,Speeding,Jan
2017,Karnataka,1544,436,Drunk Driving,Sep
2022,Uttar Pradesh,2642,744,Overtaking,Jan
2018,Uttar Pradesh,3042,343,Vehicle Defect,Jun
2016,Delhi,4901,1193,Weather,Jan
2023,Odisha,4891,946,Overtaking,Sep
2020,Gujarat,1741,387,Vehicle Defect,Dec
2018,Kerala,2964,407,Weather,Feb
2016,Delhi,2002,255,Speeding,Mar
2017,Uttar Pradesh,1819,529,Drunk Driving,Sep
2016,Kerala,117,29,Speeding,Jun
2015,Uttar Pradesh,2064,295,Overtaking,May
2017,West Bengal,4038,789,Vehicle Defect,Aug
2022,Kerala,650,88,Vehicle Defect,Aug
2016,Bihar,4577,1125,Vehicle Defect,Feb
2017,Kerala,4617,1276,Vehicle Defect,Apr
2021,Bihar,1619,382,Overtaking,Dec
2023,Odisha,3905,709,Drunk Driving,Jul
2019,Tamil Nadu,2309,398,Speeding,Feb
2022,Karnataka,2577,474,Vehicle Defect,Jan
2015,Bihar,1024,239,Overtaking,Jun
2019,Kerala,2655,363,Vehicle Defect,Aug
2018,Bihar,239,61,Overtaking,Jan
2022,Odisha,4174,1234,Overtaking,Nov
2022,Tamil Nadu,2082,216,Weather,Dec
2022,Haryana,4362,839,Speeding,Jun
2015,Gujarat,589,170,Overtaking,Feb
2019,Tamil Nadu,4441,963,Drunk Driving,Oct
2021,Odisha,405,77,Speeding,Dec
2019,Bihar,590,97,Overtaking,Apr
2015,Maharashtra,2979,644,Speeding,Jun
2020,Bihar,3912,780,Speeding,Feb
2020,Maharashtra,4209,430,Weather,Nov
2015,Odisha,714,135,Vehicle Defect,Jul
2020,Kerala,1724,195,Overtaking,Apr
2016,Punjab,2095,425,Drunk Driving,Dec
2023,Madhya Pradesh,906,147,Overtaking,May
2020,Kerala,3994,677,Speeding,Jul
2022,Kerala,456,73,Speeding,Jul
2016,West Bengal,4149,569,Speeding,Dec
2020,Tamil Nadu,4658,1274,Weather,May
2021,Tamil Nadu,2220,335,Weather,Oct
2020,Rajasthan,663,178,Vehicle Defect,Mar
2017,Rajasthan,4954,566,Drunk Driving,Dec
2018,Kerala,4351,1255,Speeding,Mar
2023,Delhi,3326,974,Weather,Oct
2021,Kerala,236,44,Speeding,Nov
2023,Odisha,155,31,Drunk Driving,Jun
2020,Haryana,791,127,Weather,Mar
2020,Bihar,2944,630,Drunk Driving,Feb
2021,Delhi,803,140,Overtaking,May
2022,Haryana,490,136,Overtaking,Jan
2022,Assam,2796,328,Overtaking,Sep
2022,Odisha,922,106,Speeding,Oct
2016,Haryana,1164,223,Vehicle Defect,Dec
2018,Gujarat,4014,1194,Overtaking,Aug
2018,Gujarat,639,115,Weather,Sep
2022,Assam,468,91,Vehicle Defect,Aug
2016,Assam,1198,146,Overtaking,Apr
2017,Haryana,245,48,Drunk Driving,Dec
2017,Kerala,1824,432,Weather,Aug
2019,Madhya Pradesh,2033,226,Speeding,Jan
2017,Punjab,386,53,Vehicle Defect,Jan
2022,Tamil Nadu,4685,811,Vehicle Defect,Jun
2018,Tamil Nadu,680,112,Vehicle Defect,Jan
2019,Rajasthan,886,247,Vehicle Defect,Apr
2020,West Bengal,2795,807,Speeding,Nov
2021,Rajasthan,2576,722,Weather,Jun
2019,Gujarat,2917,474,Vehicle Defect,Apr
2020,Delhi,287,53,Vehicle Defect,Dec
2018,Bihar,3267,790,Vehicle Defect,Apr
2017,Punjab,1539,421,Vehicle Defect,May
2022,Odisha,2137,247,Weather,Jun
2018,Tamil Nadu,3443,799,Drunk Driving,Oct
2021,Delhi,2987,447,Overtaking,May
2021,Odisha,587,96,Drunk Driving,Apr
2015,Odisha,4341,1176,Drunk Driving,Jun
2017,Madhya Pradesh,3207,938,Overtaking,Jul
2022,Haryana,1804,212,Weather,Feb
2021,Rajasthan,3927,671,Weather,Jan
2016,Haryana,863,106,Weather,Feb
2021,Kerala,3178,762,Overtaking,Dec
2015,Haryana,388,64,Weather,May
2022,Karnataka,4090,1102,Vehicle Defect,Mar
2023,Karnataka,2514,429,Drunk Driving,Jul
2018,West Bengal,2697,755,Weather,Feb
2016,Tamil Nadu,988,103,Speeding,May
2022,Odisha,523,113,Overtaking,Nov
2019,West Bengal,2445,697,Speeding,May
2020,Delhi,889,135,Weather,Dec
2020,Karnataka,2822,489,Speeding,Jun
2023,Assam,1844,365,Vehicle Defect,Feb
2020,Bihar,3835,896,Speeding,May
2021,Bihar,152,39,Overtaking,Dec
2019,West Bengal,4737,1197,Weather,Dec
2015,West Bengal,1286,208,Weather,Mar
2023,West Bengal,4105,1165,Speeding,Oct
2022,Haryana,1931,441,Overtaking,May
2022,Uttar Pradesh,3556,906,Drunk Driving,Jul
2017,Gujarat,2530,717,Speeding,Dec
2023,Delhi,2769,758,Drunk Driving,Mar
2016,Delhi,4984,1040,Speeding,Jan
2022,Haryana,3044,503,Drunk Driving,Jun
2021,Madhya Pradesh,3007,633,Drunk Driving,Dec
2018,Rajasthan,813,226,Vehicle Defect,Oct
2022,Odisha,4196,1095,Weather,Sep
2018,Kerala,1803,424,Speeding,Dec
2015,Rajasthan,1968,201,Drunk Driving,Oct
2021,Gujarat,1446,339,Vehicle Defect,Nov
2018,Gujarat,3514,1030,Speeding,May
2019,Uttar Pradesh,966,193,Weather,Feb
2017,Tamil Nadu,3677,920,Speeding,Jun
2022,Delhi,4733,1073,Weather,Sep
2020,Assam,4434,1059,Drunk Driving,Apr
2018,Haryana,3944,793,Drunk Driving,Jul
2017,Punjab,2958,583,Weather,Mar
2019,Assam,2375,691,Vehicle Defect,May
2021,Gujarat,3930,1065,Weather,Sep
2022,Gujarat,1928,205,Speeding,Apr
2022,Karnataka,2565,452,Speeding,Sep
2017,Karnataka,3629,613,Weather,Dec
2022,Odisha,597,144,Drunk Driving,Sep
2015,Kerala,2414,706,Speeding,Jun
2021,Karnataka,4409,514,Overtaking,Nov
2016,Karnataka,4195,850,Overtaking,Oct
2017,Madhya Pradesh,4439,1089,Speeding,Oct
2020,Gujarat,3872,850,Overtaking,Aug
2018,Rajasthan,1390,214,Weather,Jun
2016,Haryana,1675,354,Overtaking,Nov
2020,Uttar Pradesh,4002,709,Vehicle Defect,Oct
2022,Madhya Pradesh,109,15,Overtaking,Jun
2021,Haryana,4859,1055,Drunk Driving,Dec
2015,Uttar Pradesh,1354,314,Drunk Driving,Sep
2021,Punjab,2588,462,Speeding,Jul
2023,Kerala,4664,651,Drunk Driving,Mar
2016,Punjab,917,251,Speeding,Jan
2023,Uttar Pradesh,1199,217,Drunk Driving,Jan
2023,Bihar,3126,822,Vehicle Defect,May
2020,Rajasthan,3256,436,Weather,Jul
2019,Haryana,4583,900,Weather,Jan
2018,Haryana,4639,713,Overtaking,Jul
2023,Punjab,4308,1254,Weather,Oct
2021,Gujarat,4688,619,Vehicle Defect,Jun
2019,Tamil Nadu,2400,526,Overtaking,Aug
2016,Maharashtra,2888,768,Overtaking,Nov
2017,Maharashtra,111,12,Overtaking,Nov
2017,Madhya Pradesh,3451,496,Drunk Driving,Jul
2016,Rajasthan,2396,467,Vehicle Defect,Apr
2019,Rajasthan,4260,941,Overtaking,Feb
2022,Tamil Nadu,897,134,Drunk Driving,Feb
2020,Punjab,883,258,Drunk Driving,Aug
2019,Madhya Pradesh,250,38,Drunk Driving,Jul
2019,Gujarat,4477,846,Overtaking,Mar
2020,Madhya Pradesh,3721,1081,Speeding,Sep
2017,Karnataka,981,254,Drunk Driving,Jun
2023,Assam,4012,863,Overtaking,Jan
2020,Uttar Pradesh,4623,1224,Overtaking,Dec
2019,Uttar Pradesh,2341,266,Vehicle Defect,Jan
2018,Tamil Nadu,1664,274,Vehicle Defect,Mar
2021,Maharashtra,460,58,Vehicle Defect,Feb
2019,Delhi,4008,841,Overtaking,May
2015,Rajasthan,135,17,Overtaking,Jan
2022,Odisha,4569,859,Speeding,Jul
2019,Bihar,1299,303,Speeding,Dec
2021,West Bengal,3621,843,Weather,Dec
2017,Madhya Pradesh,3561,644,Vehicle Defect,Apr
2016,West Bengal,3908,1061,Weather,Jan
2021,Punjab,4340,1108,Speeding,Dec
2017,Maharashtra,2609,262,Drunk Driving,Jul
2016,Rajasthan,4542,506,Drunk Driving,Oct
2015,Uttar Pradesh,3536,362,Weather,Apr
2016,Punjab,3188,458,Weather,Oct
2015,Punjab,398,48,Vehicle Defect,Apr
2022,Tamil Nadu,1761,177,Drunk Driving,Oct
2022,Tamil Nadu,3235,388,Drunk Driving,Dec
2016,Odisha,4937,872,Weather,Sep
2020,West Bengal,1844,229,Weather,Jul
2022,Maharashtra,1339,265,Vehicle Defect,Jul
2020,Karnataka,124,32,Overtaking,Jul
2019,Delhi,1302,283,Drunk Driving,Oct
2015,Assam,1399,205,Speeding,Jun
2017,Maharashtra,4213,525,Vehicle Defect,May
2015,Gujarat,168,35,Overtaking,Jun
2020,Maharashtra,840,163,Speeding,Jun
2023,Punjab,3973,1178,Drunk Driving,Nov
2021,West Bengal,4966,1283,Drunk Driving,Feb
2016,Delhi,1557,273,Speeding,Jul
2017,Kerala,3016,423,Vehicle Defect,Jul
2022,Karnataka,3134,513,Weather,Feb
2017,Assam,2567,728,Drunk Driving,Feb
2021,Gujarat,158,20,Drunk Driving,Nov
2015,Assam,2093,314,Speeding,Sep
2015,Delhi,4048,878,Vehicle Defect,Jun
2018,Haryana,201,22,Overtaking,Aug
2018,Gujarat,4652,1070,Weather,May
2016,Tamil Nadu,1564,297,Weather,Nov
2015,Uttar Pradesh,838,145,Weather,Jul
2022,Assam,333,94,Overtaking,Oct
2018,Kerala,3086,688,Drunk Driving,Nov
2020,Odisha,2214,523,Drunk Driving,Jan
2020,Haryana,4100,1036,Drunk Driving,Jul
2017,Bihar,3358,654,Speeding,Oct
2021,Assam,4704,1248,Vehicle Defect,Jan
2016,West Bengal,2771,325,Drunk Driving,Sep
2018,Tamil Nadu,3269,627,Vehicle Defect,Apr
2015,Odisha,4709,628,Speeding,Sep
2018,Gujarat,493,53,Overtaking,Mar
2015,Kerala,3134,497,Drunk Driving,Nov
2023,Gujarat,4633,541,Drunk Driving,Jan
2023,Karnataka,2772,461,Vehicle Defect,Sep
2017,Kerala,3220,925,Speeding,Feb
2016,Punjab,2146,470,Vehicle Defect,Sep
2020,Karnataka,1939,505,Speeding,Jan
2022,Odisha,2394,667,Vehicle Defect,Feb
2023,West Bengal,3894,856,Speeding,Jan
2019,Uttar Pradesh,1046,209,Overtaking,Apr
2020,Rajasthan,4976,703,Overtaking,Oct
2020,Assam,2713,396,Drunk Driving,Apr
2015,Rajasthan,1185,156,Overtaking,Apr
2022,Rajasthan,1607,263,Overtaking,May
2022,Maharashtra,2445,680,Weather,Feb
2022,Bihar,4158,879,Weather,Oct
2021,Kerala,1626,401,Drunk Driving,May
2017,Tamil Nadu,1037,281,Weather,Sep
2022,West Bengal,1657,388,Drunk Driving,May
2018,Uttar Pradesh,2949,812,Speeding,Sep
2017,Kerala,365,39,Drunk Driving,Dec
2021,Punjab,2839,367,Speeding,Oct
2021,Kerala,1394,222,Overtaking,Nov
2017,Madhya Pradesh,3560,459,Overtaking,Dec
2016,Maharashtra,3972,703,Drunk Driving,May
2017,Gujarat,1835,261,Speeding,Dec
2020,Madhya Pradesh,3195,795,Overtaking,May
2022,Odisha,3883,1145,Speeding,Mar
2017,Punjab,3824,684,Speeding,Jun
2022,Maharashtra,887,89,Overtaking,Jan
2020,Haryana,2316,423,Vehicle Defect,Oct
2018,Gujarat,158,35,Speeding,Jan
2018,Haryana,690,192,Speeding,Apr
2018,Bihar,1547,289,Speeding,Nov
2020,Haryana,1668,334,Vehicle Defect,Jul
2017,Maharashtra,3597,850,Overtaking,Dec
2021,Haryana,4161,1012,Weather,Jun
2018,Punjab,4886,726,Drunk Driving,Apr
2017,Odisha,4165,484,Vehicle Defect,Feb
2021,West Bengal,3027,684,Vehicle Defect,Sep
2023,Delhi,2765,475,Vehicle Defect,Aug
2017,Haryana,4240,706,Speeding,Jul
2022,Odisha,2283,365,Drunk Driving,Jan
2023,Uttar Pradesh,3628,460,Overtaking,Dec
2021,Assam,4558,816,Drunk Driving,Nov
2020,Rajasthan,4972,1453,Speeding,Mar
2022,Karnataka,4935,594,Weather,Oct
2015,Haryana,1432,169,Speeding,Mar
2021,Gujarat,1334,244,Vehicle Defect,Dec
2022,Karnataka,2431,339,Overtaking,Jul
2019,Punjab,1029,230,Drunk Driving,Jun
2019,Uttar Pradesh,742,122,Weather,Apr
2021,West Bengal,1934,326,Overtaking,May
2018,Gujarat,1885,414,Speeding,Nov
2017,Kerala,3068,422,Speeding,Mar
2022,Gujarat,2231,582,Vehicle Defect,Sep
2022,Assam,1204,191,Drunk Driving,Mar
2017,Bihar,384,40,Speeding,Nov
2019,Bihar,1476,385,Drunk Driving,Oct
2020,Karnataka,1631,346,Overtaking,Jan
2019,West Bengal,685,194,Speeding,Aug
2015,Tamil Nadu,1050,215,Speeding,Dec
2019,Rajasthan,2503,681,Speeding,Apr
2017,Uttar Pradesh,3088,639,Drunk Driving,Jul
2021,Punjab,4112,587,Speeding,May
2015,Assam,801,108,Weather,Jun
2019,West Bengal,2405,606,Vehicle Defect,Sep
2020,Rajasthan,3125,580,Weather,Dec
2016,Odisha,4377,977,Drunk Driving,Sep
2022,Rajasthan,2228,414,Speeding,Dec
2015,Punjab,4649,1346,Drunk Driving,May
2017,Uttar Pradesh,1057,181,Drunk Driving,Jul
2021,Tamil Nadu,2035,527,Weather,Jun
2022,Haryana,2394,259,Overtaking,May
2017,Tamil Nadu,176,47,Drunk Driving,May
2015,Bihar,1239,361,Overtaking,Dec
2022,Maharashtra,4425,696,Speeding,Jun
2023,Gujarat,1602,293,Weather,Nov
2021,Bihar,4969,536,Weather,Jan
2016,Punjab,3838,862,Drunk Driving,Apr
2016,Tamil Nadu,4435,980,Drunk Driving,Jul
2020,Maharashtra,3733,754,Weather,Mar
2019,Punjab,198,55,Speeding,Oct
2015,Karnataka,2137,399,Vehicle Defect,Nov
2015,Rajasthan,3210,853,Vehicle Defect,Jun
2021,Uttar Pradesh,1862,305,Speeding,Feb
2018,Maharashtra,3635,944,Overtaking,Sep
2020,Gujarat,4843,1342,Overtaking,Jun
2021,Kerala,3665,893,Speeding,Jul
2016,Punjab,597,166,Vehicle Defect,Dec
2018,Kerala,1895,442,Drunk Driving,Jan
2017,Madhya Pradesh,1327,297,Speeding,Apr
2015,Karnataka,3367,681,Speeding,Feb
2018,Rajasthan,2608,676,Weather,Jan
2018,Punjab,2494,722,Overtaking,Jan
2021,Karnataka,4353,870,Overtaking,Nov
2015,Rajasthan,2381,327,Weather,Jun
2022,Madhya Pradesh,2240,344,Overtaking,Feb
2019,Madhya Pradesh,3440,767,Vehicle Defect,Nov
2020,West Bengal,3475,565,Overtaking,Apr
2023,Maharashtra,4371,1184,Speeding,Oct
2022,Odisha,4580,777,Overtaking,Jan
2023,Haryana,598,88,Drunk Driving,Jul
2019,Madhya Pradesh,2938,767,Speeding,May
2021,Bihar,1167,135,Weather,Nov
2016,Kerala,3246,757,Speeding,Jul
2022,Punjab,4434,1086,Overtaking,Aug
2023,Haryana,757,208,Speeding,Mar
2019,Odisha,2079,613,Drunk Driving,Oct
2017,Gujarat,4304,1211,Overtaking,Mar
2023,West Bengal,4476,1023,Speeding,Oct
2016,West Bengal,4837,1104,Overtaking,Jun
2016,Assam,559,105,Weather,May
2020,Odisha,2506,515,Weather,Feb
2015,Gujarat,3949,1025,Overtaking,Sep
2023,Tamil Nadu,4279,630,Speeding,Dec
2022,Kerala,3520,358,Speeding,Dec
2015,West Bengal,3884,923,Overtaking,Jan
2018,Delhi,4717,1407,Vehicle Defect,Sep
2021,Madhya Pradesh,441,75,Vehicle Defect,Feb
2017,Uttar Pradesh,2424,498,Speeding,Sep
2017,Punjab,4824,571,Vehicle Defect,Dec
2015,Assam,278,36,Speeding,Feb
